44M2.3,d.58.7.1,94.7,Canonical RBD 
44M2.3,c.55.3.5,95.7,DnaQ-like 3-5 exonuclease 
A1BG,b.1.1.3,87.2,C2 set domains 
A1BG,b.1.1.4,85.0,I set domains 
A1BG,b.1.1.1,85.1,V set domains (antibody variable domain-like) 
A1CF--ACF--ASP,d.58.7.1,98.3,Canonical RBD 
A1CF--ACF--ASP,d.58.7.3,98.3,Splicing factor U2AF subunits 
A2M--CPAMD5--FWP007,b.1.18.23,99.8,SVA-like 
A2M--CPAMD5--FWP007,a.102.4.2,93.7,Terpene synthases 
A2M--CPAMD5--FWP007,a.102.4.4,100.0,Complement components 
A2M--CPAMD5--FWP007,a.102.4.3,87.0,Protein prenyltransferases 
A2M--CPAMD5--FWP007,b.2.4.1,99.9,Alpha-macroglobulin receptor domain 
A2ML1--CPAMD9,b.2.4.1,99.9,Alpha-macroglobulin receptor domain 
A2ML1--CPAMD9,a.102.4.2,90.4,Terpene synthases 
A2ML1--CPAMD9,a.102.4.4,100.0,Complement components 
A2ML1--CPAMD9,b.1.18.23,99.7,SVA-like 
A4GALT--A14GALT--A4GALT1,c.68.1.22,87.6,Glycosylating toxin catalytic domain-like 
A4GALT--A14GALT--A4GALT1,c.68.1.14,80.3,Glycogenin 
A4GNT,c.68.1.22,84.1,Glycosylating toxin catalytic domain-like 
AAAS--ADRACALA--GL003,b.69.4.1,96.0,WD40-repeat 
AAAS--ADRACALA--GL003,b.69.10.1,90.6,3-carboxy-cis-cis-mucoante lactonizing enzyme 
AAAS--ADRACALA--GL003,b.70.3.1,95.5,DPP6 N-terminal domain-like 
AAAS--ADRACALA--GL003,b.69.2.3,97.7,YVTN repeat 
AAAS--ADRACALA--GL003,b.69.9.1,98.7,Tricorn protease domain 2 
AAAS--ADRACALA--GL003,b.69.11.1,97.7,Putative isomerase YbhE 
AAAS--ADRACALA--GL003,b.69.2.2,96.0,Quinohemoprotein amine dehydrogenase B chain 
AAAS--ADRACALA--GL003,b.68.6.1,89.3,SGL-like 
AAAS--ADRACALA--GL003,b.69.3.1,89.6,Nitrous oxide reductase- N-terminal domain 
AAAS--ADRACALA--GL003,b.68.7.1,95.6,Tricorn protease N-terminal domain 
AAAS--ADRACALA--GL003,b.70.2.1,96.5,C-terminal (heme d1) domain of cytochrome cd1-nitrite reductase 
AAAS--ADRACALA--GL003,b.68.4.1,93.9,TolB- C-terminal domain 
AAAS--ADRACALA--GL003,b.68.6.3,83.6,All0351-like 
AAAS--ADRACALA--GL003,b.69.2.1,94.4,Methylamine dehydrogenase- H-chain 
AAAS--ADRACALA--GL003,b.69.4.2,97.6,Cell cycle arrest protein BUB3 
AACS--ACSF1,e.23.1.1,100.0,Acetyl-CoA synthetase-like 
AADAC--DAC,c.69.1.16,97.0,Lipase 
AADAC--DAC,c.69.1.10,92.9,Carbon-carbon bond hydrolase 
AADAC--DAC,c.69.1.21,84.9,PepX catalytic domain-like 
AADAC--DAC,c.69.1.23,93.5,Ccg1/TafII250-interacting factor B (Cib) 
AADAC--DAC,c.69.1.7,93.0,Proline iminopeptidase-like 
AADAC--DAC,c.69.1.5,84.8,Serine carboxypeptidase-like 
AADAC--DAC,c.69.1.13,89.4,Thioesterases 
AADAC--DAC,c.69.1.15,94.5,A novel bacterial esterase 
AADAC--DAC,c.69.1.11,92.7,Epoxide hydrolase 
AADAC--DAC,c.69.1.36,94.9,Atu1826-like 
AADAC--DAC,c.69.1.41,96.4,2-6-dihydropseudooxynicotine hydrolase-like 
AADAC--DAC,c.69.1.20,92.7,Hydroxynitrile lyase-like 
AADAC--DAC,c.69.1.8,92.1,Haloalkane dehalogenase 
AADAC--DAC,c.69.1.6,89.8,Gastric lipase 
AADAC--DAC,c.69.1.17,81.5,Fungal lipases 
AADAC--DAC,c.69.1.24,98.9,DPP6 catalytic domain-like 
AADAC--DAC,c.69.1.14,93.7,Carboxylesterase/thioesterase 1 
AADAC--DAC,c.69.1.3,93.2,Mycobacterial antigens 
AADAC--DAC,c.69.1.32,99.8,Putative serine hydrolase Ydr428c 
AADAC--DAC,c.69.1.31,96.0,YdeN-like 
AADAC--DAC,c.69.1.18,89.5,Bacterial lipase 
AADAC--DAC,c.69.1.4,96.7,Prolyl oligopeptidase- C-terminal domain 
AADAC--DAC,c.69.1.29,96.1,Carboxylesterase/lipase 
AADAC--DAC,c.69.1.19,93.5,Pancreatic lipase- N-terminal domain 
AADAC--DAC,c.69.1.22,91.8,Thioesterase domain of polypeptide- polyketide and fatty acid synthases 
AADAC--DAC,c.69.1.27,96.2,Hypothetical protein TT1662 
AADAC--DAC,c.69.1.26,91.9,Biotin biosynthesis protein BioH 
AADAC--DAC,c.69.1.28,93.1,Aclacinomycin methylesterase RdmC 
AADAC--DAC,c.69.1.33,98.5,Acylamino-acid-releasing enzyme- C-terminal donain 
AADAC--DAC,c.69.1.2,97.0,Carboxylesterase 
AADAC--DAC,c.69.1.37,95.5,PHB depolymerase-like 
AADAC--DAC,c.69.1.9,95.6,Dienelactone hydrolase 
AADAC--DAC,c.69.1.35,93.7,Hypothetical protein VC1974 
AADAC--DAC,c.69.1.25,96.9,Acetyl xylan esterase-like 
AADAC--DAC,c.69.1.38,96.7,IroE-like 
AADAC--DAC,c.69.1.1,98.8,Acetylcholinesterase-like 
AADAC--DAC,c.69.1.12,84.2,Haloperoxidase 
AADACL2,c.69.1.25,97.7,Acetyl xylan esterase-like 
AADACL2,c.69.1.2,97.8,Carboxylesterase 
AADACL2,c.69.1.35,96.1,Hypothetical protein VC1974 
AADACL2,c.69.1.33,98.4,Acylamino-acid-releasing enzyme- C-terminal donain 
AADACL2,c.69.1.22,95.6,Thioesterase domain of polypeptide- polyketide and fatty acid synthases 
AADACL2,c.69.1.10,95.6,Carbon-carbon bond hydrolase 
AADACL2,c.69.1.37,95.5,PHB depolymerase-like 
AADACL2,c.69.1.21,93.7,PepX catalytic domain-like 
AADACL2,c.69.1.16,97.8,Lipase 
AADACL2,c.69.1.32,99.7,Putative serine hydrolase Ydr428c 
AADACL2,c.69.1.41,97.6,2-6-dihydropseudooxynicotine hydrolase-like 
AADACL2,c.69.1.19,95.6,Pancreatic lipase- N-terminal domain 
AADACL2,c.69.1.28,95.7,Aclacinomycin methylesterase RdmC 
AADACL2,c.69.1.24,98.9,DPP6 catalytic domain-like 
AADACL2,c.69.1.11,95.5,Epoxide hydrolase 
AADACL2,c.69.1.23,96.1,Ccg1/TafII250-interacting factor B (Cib) 
AADACL2,c.69.1.29,97.0,Carboxylesterase/lipase 
AADACL2,c.69.1.9,95.5,Dienelactone hydrolase 
AADACL2,c.69.1.17,81.7,Fungal lipases 
AADACL2,c.69.1.15,96.0,A novel bacterial esterase 
AADACL2,c.69.1.12,92.6,Haloperoxidase 
AADACL2,c.69.1.38,98.0,IroE-like 
AADACL2,c.69.1.4,97.1,Prolyl oligopeptidase- C-terminal domain 
AADACL2,c.69.1.14,96.1,Carboxylesterase/thioesterase 1 
AADACL2,c.69.1.3,96.3,Mycobacterial antigens 
AADACL2,c.69.1.13,91.1,Thioesterases 
AADACL2,c.69.1.8,94.4,Haloalkane dehalogenase 
AADACL2,c.69.1.7,94.6,Proline iminopeptidase-like 
AADACL2,c.69.1.6,95.8,Gastric lipase 
AADACL2,c.69.1.27,97.4,Hypothetical protein TT1662 
AADACL2,c.69.1.31,96.5,YdeN-like 
AADACL2,c.69.1.1,98.4,Acetylcholinesterase-like 
AADACL2,c.69.1.34,94.7,Hypothetical esterase YJL068C 
AADACL2,c.69.1.26,90.8,Biotin biosynthesis protein BioH 
AADACL2,c.69.1.20,95.1,Hydroxynitrile lyase-like 
AADACL2,c.69.1.36,85.6,Atu1826-like 
AADACL2,c.69.1.18,91.3,Bacterial lipase 
AADACL3,c.69.1.31,95.9,YdeN-like 
AADACL3,c.69.1.29,97.2,Carboxylesterase/lipase 
AADACL3,c.69.1.10,96.2,Carbon-carbon bond hydrolase 
AADACL3,c.69.1.8,95.9,Haloalkane dehalogenase 
AADACL3,c.69.1.7,92.6,Proline iminopeptidase-like 
AADACL3,c.69.1.17,88.2,Fungal lipases 
AADACL3,c.69.1.36,87.4,Atu1826-like 
AADACL3,c.69.1.11,95.7,Epoxide hydrolase 
AADACL3,c.108.1.2,85.4,YihX-like 
AADACL3,c.69.1.41,97.4,2-6-dihydropseudooxynicotine hydrolase-like 
AADACL3,c.69.1.13,96.5,Thioesterases 
AADACL3,c.69.1.6,95.3,Gastric lipase 
AADACL3,c.69.1.9,96.0,Dienelactone hydrolase 
AADACL3,c.69.1.32,99.5,Putative serine hydrolase Ydr428c 
AADACL3,c.69.1.19,95.7,Pancreatic lipase- N-terminal domain 
AADACL3,c.69.1.1,97.1,Acetylcholinesterase-like 
AADACL3,c.69.1.15,95.6,A novel bacterial esterase 
AADACL3,c.69.1.22,90.1,Thioesterase domain of polypeptide- polyketide and fatty acid synthases 
AADACL3,c.69.1.38,96.4,IroE-like 
AADACL3,c.69.1.26,95.1,Biotin biosynthesis protein BioH 
AADACL3,c.69.1.27,97.0,Hypothetical protein TT1662 
AADACL3,c.69.1.20,95.4,Hydroxynitrile lyase-like 
AADACL3,c.69.1.24,98.0,DPP6 catalytic domain-like 
AADACL3,c.69.1.16,97.3,Lipase 
AADACL3,c.69.1.25,96.3,Acetyl xylan esterase-like 
AADACL3,c.69.1.37,95.0,PHB depolymerase-like 
AADACL3,c.69.1.33,97.8,Acylamino-acid-releasing enzyme- C-terminal donain 
AADACL3,c.108.1.1,82.7,HAD-related 
AADACL3,c.69.1.28,96.0,Aclacinomycin methylesterase RdmC 
AADACL3,c.69.1.2,96.0,Carboxylesterase 
AADACL3,c.69.1.35,96.7,Hypothetical protein VC1974 
AADACL3,c.69.1.23,95.9,Ccg1/TafII250-interacting factor B (Cib) 
AADACL3,c.69.1.12,94.1,Haloperoxidase 
AADACL3,c.69.1.18,94.5,Bacterial lipase 
AADACL3,c.69.1.4,92.9,Prolyl oligopeptidase- C-terminal domain 
AADACL3,c.69.1.14,97.1,Carboxylesterase/thioesterase 1 
AADACL3,c.108.1.22,81.7,Enolase-phosphatase E1 
AADACL3,c.108.1.6,81.6,beta-Phosphoglucomutase-like 
AADACL3,c.69.1.3,91.5,Mycobacterial antigens 
AADACL4,c.69.1.29,97.0,Carboxylesterase/lipase 
AADACL4,c.69.1.35,96.0,Hypothetical protein VC1974 
